ProductNo,ProductName,TotalRevenue,TotalQuantity,Category,RevenuePct
22197,Popcorn Holder,580976.6,56338,A - Best Sellers (Top 80% Revenue),0.9570393965841868
84077,World War 2 Gliders Asstd Designs,567660.0,54850,A - Best Sellers (Top 80% Revenue),0.9351030383409238
85123A,Cream Hanging Heart T-Light Holder,482832.39,37819,A - Best Sellers (Top 80% Revenue),0.7953670064799525
84879,Assorted Colour Bird Ornament,416753.62,36101,A - Best Sellers (Top 80% Revenue),0.6865158304294451
21212,Pack Of 72 Retrospot Cake Cases,389469.31,36332,A - Best Sellers (Top 80% Revenue),0.6415705442017108
23084,Rabbit Night Light,320734.92,30143,A - Best Sellers (Top 80% Revenue),0.5283447806680638
22423,Regency Cakestand 3 Tier,304632.18,13772,A - Best Sellers (Top 80% Revenue),0.5018188300997414
85099B,Jumbo Bag Red Retrospot,296373.77,48343,A - Best Sellers (Top 80% Revenue),0.48821479901975506
47566,Party Bunting,286172.99,18284,A - Best Sellers (Top 80% Revenue),0.471411113060823
22492,Mini Paint Set Vintage,286167.74,26557,A - Best Sellers (Top 80% Revenue),0.47140246476615494
22178,Victorian Glass Hanging T-Light,274230.85,24297,A - Best Sellers (Top 80% Revenue),0.4517388948346089
22616,Pack Of 12 London Tissues,270893.15,26122,A - Best Sellers (Top 80% Revenue),0.4462407209081909
21977,Pack Of 60 Pink Paisley Cake Cases,263567.73,24755,A - Best Sellers (Top 80% Revenue),0.4341735988648491
15036,Assorted Colours Silk Fan,261374.49,23813,A - Best Sellers (Top 80% Revenue),0.4305606872843064
21915,Red Harmonica In Box,245826.8,21922,A - Best Sellers (Top 80% Revenue),0.40494906737417924
17003,Brocade Ring Purse,232277.5,22334,A - Best Sellers (Top 80% Revenue),0.3826293837653418
22086,Paper Chain Kit 50'S Christmas,229996.13999999998,19026,A - Best Sellers (Top 80% Revenue),0.3788713126179129
84946,Antique Silver T-Light Glass,214220.06,19007,A - Best Sellers (Top 80% Revenue),0.3528834671803104
22469,Heart Of Wicker Small,209368.19,17841,A - Best Sellers (Top 80% Revenue),0.3448910097610186
22355,Charlotte Bag Suki Design,200928.72999999998,17802,A - Best Sellers (Top 80% Revenue),0.3309887360620496
84991,60 Teatime Fairy Cake Cases,193000.72,18091,A - Best Sellers (Top 80% Revenue),0.3179289709931753
20724,Red Retrospot Charlotte Bag,192533.97,17559,A - Best Sellers (Top 80% Revenue),0.31716009641482623
22961,Jam Making Set Printed,185576.02,16365,A - Best Sellers (Top 80% Revenue),0.30569830557942435
22693,Grow A Flytrap Or Sunflower In Tin,180061.22,16021,A - Best Sellers (Top 80% Revenue),0.2966138074012146
84755,Colour Glass T-Light Holder Hanging,175132.64,16285,A - Best Sellers (Top 80% Revenue),0.2884949860421154
22629,Spaceboy Lunch Box,167304.63999999998,14218,A - Best Sellers (Top 80% Revenue),0.2755999668684326
21931,Jumbo Storage Bag Suki,166668.07,13585,A - Best Sellers (Top 80% Revenue),0.27455134878521964
22952,60 Cake Cases Vintage Christmas,164125.88,15934,A - Best Sellers (Top 80% Revenue),0.27036361388573765
21213,Pack Of 72 Skull Cake Cases,162146.72,15118,A - Best Sellers (Top 80% Revenue),0.2671033550523465
21731,Red Toadstool Led Night Light,160574.98,13828,A - Best Sellers (Top 80% Revenue),0.2645142368310839
22151,Place Setting White Heart,158059.59,15076,A - Best Sellers (Top 80% Revenue),0.26037064941676474
21790,Vintage Snap Cards,155680.33,14504,A - Best Sellers (Top 80% Revenue),0.25645130816495376
22411,Jumbo Shopper Vintage Red Paisley,151908.57,12554,A - Best Sellers (Top 80% Revenue),0.25023810970831994
21175,Gin And Tonic Diet Metal Sign,148351.64,12157,A - Best Sellers (Top 80% Revenue),0.24437879946950453
